id,year,assets,debt,earnings,cashflow,sales,mv,ad,rd,fv,mkt,sector
324,1999,30.175,0,6.743,4.628,22.869,22.287001,.057999998,1.455,.1573488,4.5819998,1
324,2000,29.877,0,4.642,1.903,22.214,25.315374,.032000002,1.1799999,.32524601,4.7940001,1
324,2001,28.63,0,3.955,3.975,22.242,17.47175,.057999998,1.3200001,.029855046,5.178,1
324,2002,26.481,0,2.731,2.357,22.998,11.274,.052999999,1.4680001,-.20199388,6.0250001,1
325,1990,2.448,.339,.14,.161,2.694,.71345598,.061000001,.145,.080251619,.33500001,1
325,1991,2.03,.301,-.179,-.163,2.303,2.082,.023,.041000001,.67931032,.56699997,1
325,1992,2.165,.321,.306,.063,2.874,1.5599999,.028999999,.061999999,.2969977,.389,1
325,1993,2.204,.255,.241,.125,2.652,6.5265002,.035,.14,2.4271779,.40400001,1
325,1994,2.836,.405,.214,.05,2.548,6.0456252,.083999999,.182,1.6941555,.463,1
325,2005,27.748,5.327,5.809,5.665,26.909,101.68564,.108,.57499999,3.4840939,5.9860001,1
325,2006,29.819,5.633,3.815,2.611,23.69,37.009312,.067000002,.78200001,1.0330765,5.6170001,1
325,2007,33.387,4.226,5.311,3.888,32.625,35.256321,.126,1.018,.84719563,7.4629998,1
325,2008,25.526,3.085,.516,-2.566,30.347,10.7019,.107,1.869,.20539451,7.7919998,1
325,2009,26.965,1.786,3.953,1.703,34.868,18.307079,.055,1.709,.4208819,7.1950002,1
325,2010,29.548,.325,4.11,.192,35.297,18.6796,.046999998,1.791,.31801137,6.8519998,1
325,2011,29.57,0,7.14,5.363,45.97,37.294399,.0060000001,1.454,.81347311,7.4359999,1
327,1990,37.723,.353,-11.711,5.667,35.626,22.64175,.69300002,9.1499996,.19698195,29.334,4
327,1992,42.296,.1,6.331,-1.251,70.95099999999999,60.51825,1.015,15.049,.99194366,22.575001,4
327,1993,51.616,0,7.879,2.944,76.26000000000001,55.16925,.99800003,15.819,.77240098,24.201,4
327,2004,120.885,0,6.978,13.674,86.75,122.43464,1.1,22.326,.46936047,45.054001,4
327,2005,131.036,0,12.697,15.813,99.536,188.15211,2.0999999,20.377001,.88375795,50.008999,4
327,2006,95.16,0,-31.586,-13.82,60.495,109.3791,2.8,22.865,.7028594,54.116001,4
327,2007,94.48,0,-6.882,-2.439,47.017,288.97723,.30000001,19.193001,2.6321785,28.302999,4
327,2008,136.542,0,1.729,20.47,73.702,229.98416,.60000002,29.66,1.5879155,35.118,4
327,2009,81.539,.452,-19.36,-12.884,67.697,127.81205,.69999999,39.609001,1.4509995,39.310997,4
328,1994,58.917,4.855,17.021,5.243,78.17100000000001,137.9025,.324,4.7940001,1.8963202,24.773001,1
328,1995,78.039,5.538,21.382,9.468999999999999,99.45,238.61626,.43099999,7.0770001,2.6235633,31.315001,1
328,1996,143.947,4.966,27.752,7.838,125.766,357.1055,.42899999,9.3280001,1.8245431,37.018002,1
328,1997,184.232,17.985,39.267,13.388,178.56,416.47937,.39500001,10.768,1.9726561,55.479,1
328,1998,328.102,69.316,61.957,-13.041,351.576,507.78882,1.138,20.225,1.3396895,101.622,1
328,1999,341.179,99.375,66.051,34.158,357.571,458.43875,.97500002,16.714001,1.1796675,103.446,1
328,2000,353.002,108.095,73.934,25.107,368.184,530.08197,1.224,16.815001,1.3684965,105.802,1
328,2001,367.948,80.05500000000001,90.779,53.33,422.438,903.96002,.80500001,15.281,2.2069151,120.549,1
328,2002,547.45,59.502,105.784,87.18600000000001,494.919,1133.6267,.96499997,17.316999,1.8159899,145.94299,1
328,2003,582.196,16.513,138.84,124.293,629.817,1264.2191,1.516,24.048,1.8343412,200.55,1
328,2004,711.139,26.897,159.435,140.937,759.55,2055.2512,2.345,29.478001,2.5045965,254.159,1
328,2005,878.446,29.241,188.023,135.078,911.497,2589.0508,3.589,45.625,2.5992444,305.741,1
328,2006,1017.378,26.756,208.092,92.965,1046.141,2489.1628,3.198,58.966,2.0492568,355.655,1
329,1996,293.212,55.339,-56.523,-29.327,366.683,61.771252,1.1,3,.34580183,61.305,1
330,1990,2.712,.052,-3.473,-2.295,4.702,5.0594039,.616,.228,1.4798687,2.645,3
330,1991,4.498,.039,-.271,-.387,7.978,9.6302147,.29899999,.156,1.9844851,2.3329999,3
330,1992,8.319000000000001,.018,.278,-3.069,12.194,36.085293,.19599999,.149,3.8497767,2.766,3
330,1993,6.431,.008,-2.685,-1.186,14.35,12.595849,1.163,.36199999,1.7729511,4.362,3
330,1994,7.35,0,.333,-1.704,16.253,14.878386,.338,.226,1.7732497,4.0019999,3
330,1995,1.603,.851,-3.144,1.147,7.614,10.103562,.212,.36000001,6.4875622,3.6570001,3
